Item Name,Category,Delete
E-Waste Collection Drive,Collection Charges,
E-Waste Collection Drive.,Collection Charges,
E-Waste Collection Fee,Charges,
Ewaste Compliance Charges,Charges,
E-Waste Event conduction with SPCB,Awareness,
E-waste offline awareness,Awareness,
E-Waste offline awareness.,Awareness,
E-Waste online awareness,Awareness,
E-Waste online awareness.,Awareness,
Exhaust Fan Installation,Fan,
Exhaust Fans,Fan,
Exo,Consumables,
Exo - bar,Consumables,
Exo bar,Consumables,
Exo dish wash,Consumables,
Expired Salt Disposal,Consumables,
Extra Curricular Activities,Awareness,
EXTRA KILOMETER,Others,
Extra KM,Others,
EXTRA KM.,Others,
EXTRA KM...,Others,
ExxtendIT Consumables,Consumables,
ExxtendIT fabrication work,Office Set-Up,
ExxtendIT Services,Services,Remove
Fabric note book (A4),Recycled paper Products,
Fabric note book (A5 - size 1),Recycled paper Products,
Fabric note book (A5 - size 2),Recycled paper Products,
Fabric Work & Labour Charges,Charges,
Fabricated collection chute for 2 out puts,Collection Charges,
Fabricated Feeding platform,Others,
Fabricated Stand for Vib screen,Others,
Fabrication,Others,
Face Device,Machine,
FaceBot (f31) - Face Recogniti on Attendanc e and Access Control System,Machine,
FaceBot (f31) - Face Recognition Attendance and Access Control System,Machine,
Facility Manager / Entrpreneur,Charges,
Fan,Fan,
Fan  Fitting Charges,Fan,
Fan Belt,Fan,
Fan Clamp,Fan,
Fan connection & Cable routing Lab or charges ,Fan,
Fan fixing and laying with laber charges,Fan,
Fan Switch Box Fixing,Fan,
FD24H Socket FD24H ,Elecric & Machine Tools,
Fee Certification,Charges,
Fevi Stick,Others,
Field Staffs Uniform,Uniform,
Filed staff cost,Charges,
Files,Recycled paper Products,
Fire alarm work,Repairs and Maintenance,
Fire and Machine Safety Audit ,Machine,
Fire Extinguisher Equipment ,Fire Extinguisher,
Fire Extinguisher Safety Valve,Fire Extinguisher,
Fire Fighting & First Aid with  Training,Awareness,
Fire Fighting System Inspection,Awareness,
Fire Fighting Work,Repairs and Maintenance,
Fire Safety Audit,Fire Safety Audit,
First Aid Box With Content,Plastics,
Fitting Charges,Charges,
Fixing of control door bell 230V,Charges,
Flexible Cable,Wire,
Flexible intermediate bulk containers with liner,Elecric & Machine Tools,
Flexible lapp cable,Wire,
Flexible Plastic,Plastics,
Float glass,Others,
floor cleaner liquid,Consumables,
Floor Cleaning Scrubber ,Consumables,
Floor Laying Charges,Charges,
Floor Marking,Office Set-Up,
Floor Marking Tape,Plastics,
Floor Stand for ABC 04 kg F/E,Others,
